#1:k(h/Mpc)	2:d_g	3:d_b	4:d_cdm	5:d_ur	6:d_tot	7:phi	8:psi	9:t_g	10:t_b	11:t_cdm	12:t_ur	13:t_tot
3.307989158674	0.0	-1.2	-3918.125983314021	0.0	-3902.4639587282772	0.5934337168014477	0.5934337168014477	0.0	0.0	130.35021344991043	0.0	129.82916122838827
4.164511613794	0.0	-1.2	-6196.3145100111105	0.0	-6171.545824519607	0.5922096580951939	0.5922096580951939	0.0	0.0	206.16536784134007	0.0	205.34125777606624
5.242809498317	0.0	-1.2	-9788.653429852273	0.0	-9749.524996684844	0.5903307507156802	0.5903307507156802	0.0	0.0	325.71373662400316	0.0	324.4117528254616
6.600306106627	0.0	-1.2	-15438.015289587362	0.0	-15376.304518660058	0.5874665139322641	0.5874665139322641	0.0	0.0	513.7171484372445	0.0	511.66365382190884
8.309293083253	0.0	-1.2	-24286.810470295815	0.0	-24189.728185470114	0.5831418973912277	0.5831418973912277	0.0	0.0	808.1935272897786	0.0	804.9629147601261
10.46078021655	0.0	-1.2	-38065.6584806544	0.0	-37913.4976564401	0.5766930946327574	0.5766930946327574	0.0	0.0	1266.735624251662	0.0	1261.6720697423998
13.16934204181	0.0	-1.2	-59339.12283669742	0.0	-59101.92505267447	0.5672275923284581	0.5672275923284581	0.0	0.0	1974.6887488312404	0.0	1966.7952753020336
16.57921935305	0.0	-1.2	-91787.3522165567	0.0	-91420.44830045033	0.553607685899827	0.553607685899827	0.0	0.0	3054.523411669178	0.0	3042.313487594499
20.87200055126	0.0	-1.2	-140448.9602211553	0.0	-139887.5400224701	0.5344901634718203	0.5344901634718203	0.0	0.0	4673.91803602607	0.0	4655.234864656967
26.27629188896	0.0	-1.2	-211758.11083946918	0.0	-210911.64476045014	0.50846662740458	0.50846662740458	0.0	0.0	7046.993103142419	0.0	7018.8239784876705
33.07989158674	0.0	-1.2	-313092.12037887087	0.0	-311840.5892877677	0.4743460648532644	0.4743460648532644	0.0	0.0	10419.255929565881	0.0	10377.606772997417
41.64511613794	0.0	-1.2	-451482.48877588025	0.0	-449677.76634751674	0.43158322589326414	0.43158322589326414	0.0	0.0	15024.705481451301	0.0	14964.64684432575
52.42809498317	0.0	-1.2	-631300.1647485915	0.0	-628776.6525533779	0.3807674831801168	0.3807674831801168	0.0	0.0	21008.801056635362	0.0	20924.822042160766
66.00306106627	0.0	-1.2	-851289.145004451	0.0	-847886.2652666843	0.3239673461706724	0.3239673461706724	0.0	0.0	28329.744403839075	0.0	28216.501196435755
83.09293083253	0.0	-1.2	-1102216.6547061543	0.0	-1097810.7360556715	0.2646617823011547	0.2646617823011547	0.0	0.0	36680.28087060162	0.0	36533.65785152212
104.6078021655	0.0	-1.2	-1366974.7734369047	0.0	-1361510.5304286818	0.20710226101501403	0.20710226101501403	0.0	0.0	45491.081422486735	0.0	45309.23876640439
131.6934204181	0.0	-1.2	-1624206.1483069984	0.0	-1617713.6677855875	0.15526212955901694	0.15526212955901694	0.0	0.0	54051.40160474773	0.0	53835.34056321086
165.7921935305	0.0	-1.2	-1854311.82664183	0.0	-1846899.5388434841	0.11184258263120145	0.11184258263120145	0.0	0.0	61709.014259316806	0.0	61462.34324807128
208.7200055126	0.0	-1.2	-2044740.5387323287	0.0	-2036567.0454027432	0.07781487881081703	0.07781487881081703	0.0	0.0	68046.22982330956	0.0	67774.22689920796
